id,url,date,tournament_id,stage,team_1_id,team_2_id,team_won
421351,https://www.vlr.gg/421351/mouz-vs-fokus-the-pokal-2024-playoffs-gf,2024-12-12,2205,Grand final,8044,6882,6882
421354,https://www.vlr.gg/421354/fokus-vs-teamorangegaming-the-pokal-2024-playoffs-lbf,2024-12-12,2205,Playoff,6882,9042,6882
423241,https://www.vlr.gg/423241/orangutan-vs-rival-predator-league-2025-india-gf,2024-12-12,2255,Grand final,8904,16986,8904
423421,https://www.vlr.gg/423421/mibr-gc-vs-g2-gozen-vct-off-season-spotlight-series-2024-americas-rr,2024-12-12,2260,Group stage,8050,6530,6530
423422,https://www.vlr.gg/423422/cloud9-x-shopify-rebellion-vs-flyquest-red-x-leviat-n-vct-off-season-spotlight-series-2024-amer,2024-12-12,2260,Group stage,16987,16950,16987
423423,https://www.vlr.gg/423423/mibr-gc-vs-flyquest-red-x-leviat-n-vct-off-season-spotlight-series-2024-americas-rr,2024-12-12,2260,Group stage,8050,16950,16950
423424,https://www.vlr.gg/423424/cloud9-x-shopify-rebellion-vs-g2-gozen-vct-off-season-spotlight-series-2024-americas-rr,2024-12-12,2260,Group stage,16987,6530,16987
423425,https://www.vlr.gg/423425/cloud9-x-shopify-rebellion-vs-mibr-gc-vct-off-season-spotlight-series-2024-americas-rr,2024-12-12,2260,Group stage,16987,8050,8050
423426,https://www.vlr.gg/423426/g2-gozen-vs-flyquest-red-x-leviat-n-vct-off-season-spotlight-series-2024-americas-rr,2024-12-12,2260,Group stage,6530,16950,16950
423427,https://www.vlr.gg/423427/cloud9-x-shopify-rebellion-vs-mibr-gc-vct-off-season-spotlight-series-2024-americas-sf,2024-12-12,2260,Playoff,16987,8050,16987
423428,https://www.vlr.gg/423428/flyquest-red-x-leviat-n-vs-g2-gozen-vct-off-season-spotlight-series-2024-americas-sf,2024-12-12,2260,Playoff,16950,6530,6530
423429,https://www.vlr.gg/423429/cloud9-x-shopify-rebellion-vs-g2-gozen-vct-off-season-spotlight-series-2024-americas-gf,2024-12-12,2260,Grand final,16987,6530,6530
423446,https://www.vlr.gg/423446/slt-seongnam-vs-nongshim-redforce-wdg-challengers-league-2024-korea-split-3-ubf,2024-12-12,2168,Playoff,12446,11060,11060
423447,https://www.vlr.gg/423447/nongshim-redforce-vs-fou-clan-wdg-challengers-league-2024-korea-split-3-gf,2024-12-12,2168,Grand final,11060,14566,11060
423450,https://www.vlr.gg/423450/team-iam-vs-crg-wdg-challengers-league-2024-korea-split-3-lr2,2024-12-12,2168,Playoff,14599,16701,16701
423451,https://www.vlr.gg/423451/dplus-esports-vs-fou-clan-wdg-challengers-league-2024-korea-split-3-lr2,2024-12-12,2168,Playoff,11348,14566,14566
423452,https://www.vlr.gg/423452/crg-vs-fou-clan-wdg-challengers-league-2024-korea-split-3-lr3,2024-12-12,2168,Playoff,16701,14566,14566
423453,https://www.vlr.gg/423453/slt-seongnam-vs-fou-clan-wdg-challengers-league-2024-korea-split-3-lbf,2024-12-12,2168,Playoff,12446,14566,14566
423492,https://www.vlr.gg/423492/leviat-n-vs-detonation-focusme-riot-games-one-2024-d1,2024-12-12,2224,Group stage,2359,278,278
423493,https://www.vlr.gg/423493/leviat-n-vs-zeta-division-riot-games-one-2024-d1,2024-12-12,2224,Group stage,2359,5448,5448
423494,https://www.vlr.gg/423494/fnatic-vs-zeta-division-riot-games-one-2024-d1,2024-12-12,2224,Group stage,2593,5448,2593
423495,https://www.vlr.gg/423495/fnatic-vs-leviat-n-riot-games-one-2024-d2,2024-12-12,2224,Group stage,2593,2359,2359
423496,https://www.vlr.gg/423496/fnatic-vs-detonation-focusme-riot-games-one-2024-d2,2024-12-12,2224,Group stage,2593,278,2593
423497,https://www.vlr.gg/423497/zeta-division-vs-detonation-focusme-riot-games-one-2024-d2,2024-12-12,2224,Group stage,5448,278,5448
424592,https://www.vlr.gg/424592/the-ultimates-vs-dragons-saudi-eleague-2024-championship-ubsf,2024-12-12,2269,Playoff,1458,9437,1458
424593,https://www.vlr.gg/424593/al-qadsiah-esports-vs-onyx-ravens-saudi-eleague-2024-championship-ubsf,2024-12-12,2269,Playoff,16598,6159,16598
424594,https://www.vlr.gg/424594/the-ultimates-vs-al-qadsiah-esports-saudi-eleague-2024-championship-ubf,2024-12-12,2269,Playoff,1458,16598,16598
424595,https://www.vlr.gg/424595/al-qadsiah-esports-vs-the-ultimates-saudi-eleague-2024-championship-gf,2024-12-12,2269,Grand final,16598,1458,1458
424596,https://www.vlr.gg/424596/dragons-vs-onyx-ravens-saudi-eleague-2024-championship-lr1,2024-12-12,2269,Playoff,9437,6159,9437
424597,https://www.vlr.gg/424597/the-ultimates-vs-dragons-saudi-eleague-2024-championship-lbf,2024-12-12,2269,Playoff,1458,9437,1458
424657,https://www.vlr.gg/424657/alter-ego-vs-disguised-one-game-showdown-qf,2024-12-12,2266,Group stage,1110,14773,14773
424658,https://www.vlr.gg/424658/fancy-united-esports-vs-sharper-esport-one-game-showdown-qf,2024-12-12,2266,Group stage,4330,623,623
424659,https://www.vlr.gg/424659/full-sense-vs-bigetron-arctic-one-game-showdown-sf,2024-12-12,2266,Group stage,4050,2814,2814
424660,https://www.vlr.gg/424660/disguised-vs-sharper-esport-one-game-showdown-sf,2024-12-12,2266,Group stage,14773,623,14773
424724,https://www.vlr.gg/424724/stellae-gaming-vs-the-7-gamers-club-challengers-league-2024-brazil-split-3-playoffs-ubsf,2024-12-12,2200,Playoff,10727,15745,15745
424725,https://www.vlr.gg/424725/pr0nets-vs-galorys-gamers-club-challengers-league-2024-brazil-split-3-playoffs-ubsf,2024-12-12,2200,Playoff,16605,10755,10755
424726,https://www.vlr.gg/424726/the-7-vs-galorys-gamers-club-challengers-league-2024-brazil-split-3-playoffs-ubf,2024-12-12,2200,Playoff,15745,10755,10755
424727,https://www.vlr.gg/424727/galorys-vs-the-7-gamers-club-challengers-league-2024-brazil-split-3-playoffs-gf,2024-12-12,2200,Grand final,10755,15745,10755
425163,https://www.vlr.gg/425163/edward-gaming-vs-xi-lai-gaming-shanghai-esports-masters-2024-sf,2024-12-12,2265,Playoff,1120,13581,13581
425164,https://www.vlr.gg/425164/paper-rex-vs-wolves-esports-shanghai-esports-masters-2024-sf,2024-12-12,2265,Playoff,624,13790,13790
425165,https://www.vlr.gg/425165/xi-lai-gaming-vs-wolves-esports-shanghai-esports-masters-2024-gf,2024-12-12,2265,Grand final,13581,13790,13790
425202,https://www.vlr.gg/425202/team-falcons-vega-vs-the-ultimates-odyssey-saudi-womens-eleague-2024-championship-gf,2024-12-12,2271,Grand final,9314,12633,9314
425335,https://www.vlr.gg/425335/sentinels-vs-gen-g-soop-valorant-league-opening-a,2024-12-12,2225,Group stage,2,17,2
425336,https://www.vlr.gg/425336/made-in-thailand-vs-talon-soop-valorant-league-opening-a,2024-12-12,2225,Group stage,4210,8304,4210
425337,https://www.vlr.gg/425337/sentinels-vs-made-in-thailand-soop-valorant-league-winners-a,2024-12-12,2225,Group stage,2,4210,4210
425338,https://www.vlr.gg/425338/gen-g-vs-talon-soop-valorant-league-elim-a,2024-12-12,2225,Group stage,17,8304,17
425339,https://www.vlr.gg/425339/sentinels-vs-gen-g-soop-valorant-league-decider-a,2024-12-12,2225,Group stage,2,17,17
425340,https://www.vlr.gg/425340/rapid-lofi-vs-nrg-esports-soop-valorant-league-opening-b,2024-12-12,2225,Group stage,11276,1034,11276
425341,https://www.vlr.gg/425341/drx-vs-bilibili-gaming-soop-valorant-league-opening-b,2024-12-12,2225,Group stage,8185,12010,8185
425342,https://www.vlr.gg/425342/rapid-lofi-vs-drx-soop-valorant-league-winners-b,2024-12-12,2225,Group stage,11276,8185,8185
425343,https://www.vlr.gg/425343/nrg-esports-vs-bilibili-gaming-soop-valorant-league-elim-b,2024-12-12,2225,Group stage,1034,12010,1034
425344,https://www.vlr.gg/425344/rapid-lofi-vs-nrg-esports-soop-valorant-league-decider-b,2024-12-12,2225,Group stage,11276,1034,1034
425353,https://www.vlr.gg/425353/made-in-thailand-vs-nrg-esports-soop-valorant-league-sf,2024-12-12,2225,Playoff,4210,1034,1034
425354,https://www.vlr.gg/425354/drx-vs-gen-g-soop-valorant-league-sf,2024-12-12,2225,Playoff,8185,17,17
425355,https://www.vlr.gg/425355/nrg-esports-vs-gen-g-soop-valorant-league-gf,2024-12-12,2225,Grand final,1034,17,1034
425375,https://www.vlr.gg/425375/crest-gaming-zst-vs-alter-ego-predator-league-asia-pacific-2025-sf,2025-01-01,2208,Playoff,294,1110,1110
425376,https://www.vlr.gg/425376/xipto-esports-vs-zol-esports-predator-league-asia-pacific-2025-sf,2025-01-01,2208,Playoff,17167,8375,8375
425377,https://www.vlr.gg/425377/alter-ego-vs-zol-esports-predator-league-asia-pacific-2025-gf,2025-01-01,2208,Grand final,1110,8375,1110
425600,https://www.vlr.gg/425600/totalepro-vs-gr-mio-esports-gamers-club-challengers-league-2024-brazil-split-3-playoffs-lr1,2024-12-12,2200,Playoff,8532,16154,16154
425601,https://www.vlr.gg/425601/tbk-esports-vs-a-nova-onda-do-imperador-gamers-club-challengers-league-2024-brazil-split-3-playo,2024-12-12,2200,Playoff,6946,14547,6946
