match_id,map_id,team_1_score,team_2_score,team_def_first,team_atk_first
490311,5,13,9,2,12010
490311,9,5,13,2,12010
490311,6,9,13,2,12010
490306,9,13,5,17,7386
490306,4,13,1,17,7386
490308,8,13,11,2,13790
490308,6,13,8,2,13790
490307,5,13,10,12010,474
490307,4,14,16,474,12010
490307,9,13,10,474,12010
490309,7,1,13,1001,624
490309,5,9,13,624,1001
493415,8,13,7,14613,6530
493415,9,13,8,6530,14613
493416,6,13,1,12934,15832
493416,7,13,5,12934,15832
493413,6,13,8,15119,12255
493413,1,11,13,15119,12255
493413,8,9,13,15119,12255
493414,9,11,13,15749,17427
493414,4,5,13,17427,15749
493318,7,13,10,16606,16071
493318,1,12,14,16606,16071
493318,9,13,6,16071,16606
493316,4,12,14,17094,10727
493316,8,13,7,17094,10727
493316,6,13,10,10727,17094
493317,4,14,12,17127,8952
493317,7,9,13,17127,8952
493317,5,11,13,17127,8952
493758,6,7,13,8044,8826
493758,4,13,5,8044,8826
493758,8,13,1,8826,8044
493412,5,13,5,17427,15399
493412,9,11,13,15399,17427
493412,6,8,13,17427,15399
493411,5,13,3,15119,14613
493411,4,9,13,15119,14613
493411,8,13,8,14613,15119
493757,6,6,13,14478,5214
493757,9,6,13,14478,5214
493410,1,14,16,12255,15832
493410,4,13,6,12255,15832
493410,6,6,13,12255,15832
493315,8,4,13,7655,16068
493315,9,3,13,16068,7655
493313,6,13,7,17095,7332
493313,5,13,15,7332,17095
493313,1,5,13,17095,7332
493314,4,11,13,6946,1124
493314,7,13,5,1124,6946
493314,6,13,7,1124,6946
493409,4,13,6,14613,15832
493409,5,15,13,14613,15832
493408,5,6,13,15399,12934
493408,4,13,6,12934,15399
493408,1,13,7,15399,12934
493406,7,13,9,6530,15119
493406,8,7,13,6530,15119
493406,4,8,13,6530,15119
493407,5,10,13,17416,15749
493407,8,17,15,17416,15749
493407,4,10,13,17416,15749
487861,7,10,13,16971,9425
487861,1,13,4,9425,16971
487861,6,13,8,16971,9425
487861,4,12,14,16971,9425
487861,8,14,16,16971,9425
493762,4,15,17,13224,14529
493762,6,23,25,13224,14529
493761,6,11,13,5091,5233
493761,1,6,13,5091,5233
487848,9,15,13,4094,724
487848,5,7,13,4094,724
487848,4,13,8,724,4094
487848,6,13,11,4094,724
494592,9,14,12,4572,6392
494592,4,14,12,6392,4572
487860,7,7,13,16971,9427
487860,5,8,13,9427,16971
489112,7,13,4,16453,14278
489112,4,13,6,16453,14278
489112,9,10,13,16453,14278
489112,6,14,12,16453,14278
488321,8,16,14,17985,11856
488321,6,13,10,17985,11856
487859,9,14,12,9425,367
487859,7,13,5,9425,367
493402,5,13,15,14613,15399
493402,9,11,13,14613,15399
493403,9,13,6,17427,17416
493403,4,4,13,17416,17427
493403,5,8,13,17416,17427
488320,6,13,5,17986,8945
488320,1,9,13,8945,17986
488320,4,7,13,17986,8945
493400,5,10,13,12255,6530
493400,1,11,13,6530,12255
493401,8,13,9,15749,15119
493401,6,13,2,15119,15749
484666,7,13,5,17180,1033
484666,5,13,11,1033,17180
484666,1,13,8,1033,17180
484646,8,13,10,12446,15744
484646,5,13,7,15744,12446
484646,6,13,6,15744,12446
487847,1,13,7,4094,10376
487847,6,13,11,4094,10376
484672,8,13,6,1033,799
484672,6,13,15,1033,799
484672,9,9,13,799,1033
487846,4,13,10,2131,724
487846,9,13,4,724,2131
489118,6,13,3,18364,16453
489118,4,13,4,16453,18364
489118,1,13,8,18364,16453
489121,5,13,7,17988,1465
489121,9,13,6,17988,1465
493399,4,8,13,14613,12934
493399,9,13,10,14613,12934
493399,1,11,13,12934,14613
493397,8,13,10,12255,15749
493397,4,13,9,12255,15749
493398,4,7,13,6530,15832
493398,7,13,9,6530,15832
493398,9,13,10,6530,15832
484665,4,12,14,799,17180
484665,7,13,9,799,17180
484665,8,11,13,799,17180
484651,4,13,5,15578,12446
484651,1,6,13,12446,15578
484651,9,7,13,12446,15578
484651,8,11,13,12446,15578
491961,4,13,9,15139,7412
491961,8,13,1,15139,7412
489117,4,8,13,18364,17859
489117,5,13,10,18364,17859
489117,9,7,13,17859,18364
492146,9,9,13,14958,9205
492146,8,13,3,9205,14958
492146,1,13,15,9205,14958
489111,9,13,5,14278,16453
489111,6,12,14,16453,14278
489111,1,13,6,16453,14278
493395,4,13,11,12255,12934
493395,9,8,13,12255,12934
493396,9,13,7,17416,6530
493395,6,20,18,12934,12255
493396,8,13,4,17416,6530
493393,8,10,13,15749,15832
493393,6,13,11,15749,15832
493393,7,13,4,15749,15832
493394,4,14,12,15119,17427
493394,6,13,6,17427,15119
491474,1,4,13,16071,18622
491474,6,11,13,16071,18622
486229,6,13,9,427,11963
486229,9,14,12,11963,427
486229,1,12,14,11963,427
486229,7,13,10,427,11963
491472,4,13,4,10727,17127
491472,1,10,13,10727,17127
491472,9,6,13,10727,17127
491473,7,14,12,8952,16606
491473,9,9,13,8952,16606
491473,5,13,7,8952,16606
493755,6,13,7,8044,5091
493755,9,14,12,5091,8044
493756,6,8,13,8826,5233
