id,url,name,prize_pool,number_of_teams,tier
2168,https://www.vlr.gg/event/2168/wdg-challengers-league-2024-korea-split-3/playoffs,WDG Challengers League 2024 Korea: Split 3,28651,8,0
2173,https://www.vlr.gg/event/2173/challengers-league-2024-japan-split-3/playoffs,Challengers League 2024 Japan: Split 3,0,8,0
2200,https://www.vlr.gg/event/2200/gamers-club-challengers-league-2024-brazil-split-3/playoffs,Gamers Club Challengers League 2024 Brazil: Split 3,9214,8,0
2205,https://www.vlr.gg/event/2205/the-pokal-2024/playoffs,THE POKAL 2024,5518,6,0
2208,https://www.vlr.gg/event/2208/predator-league-asia-pacific-2025/playoffs,Predator League Asia-Pacific 2025,120000,4,1
2224,https://www.vlr.gg/event/2224/riot-games-one-2024/pro-invitational,Riot Games ONE 2024,0,4,0
2225,https://www.vlr.gg/event/2225/soop-valorant-league/playoffs,SOOP Valorant League,87497,4,0
2255,https://www.vlr.gg/event/2255/predator-league-2025-india/playoffs,Predator League 2025 India,7708,9,0
2260,https://www.vlr.gg/event/2260/vct-off-season-spotlight-series-2024-americas/playoffs,VCT OFF//SEASON Spotlight Series 2024: Americas,25000,4,0
2265,https://www.vlr.gg/event/2265/shanghai-esports-masters-2024/main-event,Shanghai Esports Masters 2024,0,4,0
2266,https://www.vlr.gg/event/2266/one-game-showdown/playoffs,One Game Showdown,17771,4,0
2269,https://www.vlr.gg/event/2269/saudi-eleague-2024-championship/playoffs,Saudi eLeague 2024: Championship,106540,0,1
2271,https://www.vlr.gg/event/2271/saudi-womens-eleague-2024-championship/playoffs,Saudi Womens eLeague 2024: Championship,73205,0,0
2274,https://www.vlr.gg/event/2274/champions-tour-2025-americas-kickoff/main-event,Champions Tour 2025: Americas Kickoff,0,12,0
2275,https://www.vlr.gg/event/2275/champions-tour-2025-china-kickoff/main-event,Champions Tour 2025: China Kickoff,0,12,0
2276,https://www.vlr.gg/event/2276/champions-tour-2025-emea-kickoff/main-event,Champions Tour 2025: EMEA Kickoff,0,12,0
2277,https://www.vlr.gg/event/2277/champions-tour-2025-pacific-kickoff/main-event,Champions Tour 2025: Pacific Kickoff,250000,12,1
2278,https://www.vlr.gg/event/2278/tixinha-invitational-by-bonoxs/main-event,Tixinha Invitational by BONOXS,10000,0,0
2281,https://www.vlr.gg/event/2281/valorant-masters-2025-bangkok/playoffs,VALORANT Masters 2025: Bangkok,500000,4,1
2282,https://www.vlr.gg/event/2282/valorant-masters-2025-toronto/swiss-stage,VALORANT Masters 2025: Toronto,1000000,8,1
2285,https://www.vlr.gg/event/2285/wingwoman-series/playoffs,Wingwoman Series,10484,8,0
